lat,lon,co,gas,temp
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,0,0,0.0
2.925340509334203,101.64186097827847,132,69,0.0
2.925340509334203,101.64186097827847,133,70,0.0
2.925340509334203,101.64186097827847,134,71,0.0
2.925340509334203,101.64186097827847,134,71,0.0
2.925340509334203,101.64186097827847,134,71,0.0
2.925340509334203,101.64186097827847,131,69,0.0
2.925340509334203,101.64186097827847,131,69,0.0
2.925340509334203,101.64186097827847,131,70,0.0
2.925340509334203,101.64186097827847,133,67,0.0
2.925340509334203,101.64186097827847,131,67,0.0
2.925340509334203,101.64186097827847,131,67,0.0
2.925340509334203,101.64186097827847,134,72,0.0
2.925340509334203,101.64186097827847,132,71,0.0
2.925340509334203,101.64186097827847,131,162,0.0
2.925340509334203,101.64186097827847,132,501,0.0
2.925340509334203,101.64186097827847,132,429,0.0
2.925340509334203,101.64186097827847,132,429,0.0
2.925340509334203,101.64186097827847,132,361,0.0
2.925340509334203,101.64186097827847,132,409,0.0
2.925340509334203,101.64186097827847,132,409,0.0
2.925340509334203,101.64186097827847,131,395,0.0
2.925340509334203,101.64186097827847,133,440,0.0
2.925340509334203,101.64186097827847,130,397,0.0
2.925340509334203,101.64186097827847,130,397,0.0
2.925340509334203,101.64186097827847,133,325,0.0
2.925340509334203,101.64186097827847,134,273,0.0
2.925340509334203,101.64186097827847,134,273,0.0
2.925340509334203,101.64186097827847,130,238,0.0
2.925340509334203,101.64186097827847,134,212,0.0
2.925340509334203,101.64186097827847,134,212,0.0
2.925340509334203,101.64186097827847,131,193,0.0
2.925340509334203,101.64186097827847,133,288,0.0
2.925340509334203,101.64186097827847,131,1131,0.0
2.925340509334203,101.64186097827847,131,1131,0.0
2.925340509334203,101.64186097827847,132,1415,0.0
2.925340509334203,101.64186097827847,129,1803,0.0
2.925340509334203,101.64186097827847,131,1382,0.0
2.925340509334203,101.64186097827847,132,1064,0.0
2.925340509334203,101.64186097827847,131,821,0.0
2.925340509334203,101.64186097827847,131,821,0.0
2.925340509334203,101.64186097827847,130,656,0.0
2.925340509334203,101.64186097827847,132,550,0.0
2.925340509334203,101.64186097827847,131,465,0.0
2.925340509334203,101.64186097827847,131,408,0.0
2.925340509334203,101.64186097827847,131,408,0.0
2.925340509334203,101.64186097827847,132,369,0.0
2.925340509334203,101.64186097827847,131,336,0.0
2.925340509334203,101.64186097827847,136,310,0.0
2.925340509334203,101.64186097827847,132,287,0.0
2.925340509334203,101.64186097827847,133,268,0.0
2.925340509334203,101.64186097827847,132,249,0.0
2.925340509334203,101.64186097827847,133,238,0.0
2.925340509334203,101.64186097827847,133,238,0.0
2.925340509334203,101.64186097827847,132,225,0.0
